# datetime,           latitude,   longitude,  elevation
2013-06-19 13:09:32, 52.858636,    5.699969,  -3.375
2013-06-19 13:13:26, 52.858666,    5.699985,   5.432
2013-06-19 13:14:12, 52.858678,    5.700005,   2.791
2013-06-19 13:16:58, 52.858657,    5.700009,   3.302
2013-06-19 13:19:13, 52.858633,    5.700008,   5.633
2013-06-19 13:19:28, 52.858590,    5.700084,   4.082
2013-06-19 13:19:49, 52.858477,    5.700163,   3.150
2013-06-19 13:20:05, 52.858459,    5.700180,   2.482
2013-06-19 16:08:29, 52.858841,    5.700391,   1.502
2013-06-19 16:08:45, 52.858867,    5.700268,   2.271
2013-06-19 16:09:01, 52.858863,    5.700258,   3.891
2013-06-19 16:09:32, 52.858863,    5.700325,   9.132
2013-06-19 16:11:28, 52.858845,    5.700278,   8.481
2013-06-19 16:12:21, 52.858868,    5.700260,   6.411
